"","zip_3_mod","cumulative_ttl","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",681,15842913000,29718000,309108000,818430000,885193000,587269000,480200000,450352000,342665000,388186000,462107000,960476000,834759000,714092000,1107792000,989419000,649665000,959505000,1204152000,950264000,870267000,1071804000,777490000
"2",685,7716880000,19781000,153094000,304109000,376791000,256416000,271090000,233732000,172229000,175065000,246758000,510701000,447079000,383192000,585235000,426959000,264687000,426855000,578336000,480501000,419877000,528575000,455818000
"3",680,7641777000,11015000,97336000,267670000,277282000,203396000,204725000,197324000,163916000,185609000,232476000,457326000,399018000,322272000,526007000,448063000,325055000,538808000,639024000,504879000,484099000,614544000,541933000
"4",688,2258211000,5101000,31972000,72033000,67363000,52284000,59877000,50712000,47639000,51811000,66125000,137801000,76886000,104608000,162449000,137280000,120181000,173038000,205032000,180010000,171662000,173629000,110718000
"5",684,1460971000,3652000,24770000,59602000,61299000,51189000,56622000,54922000,39137000,42764000,50907000,103465000,71048000,65627000,108773000,82178000,57061000,79974000,109464000,93048000,70195000,84859000,90415000
"6",683,1309448000,3194000,19333000,49535000,55957000,44545000,55634000,50514000,33061000,42496000,47418000,85889000,68880000,62458000,92179000,70630000,46891000,74809000,96091000,78097000,67374000,85849000,78614000
"7",687,1116831000,2715000,17829000,39306000,51021000,35968000,40427000,38208000,29105000,25275000,35851000,58157000,40673000,55370000,66917000,78854000,51298000,71443000,82524000,69512000,71228000,79282000,75868000
"8",686,864754000,1956000,12197000,47212000,42578000,37233000,36468000,26843000,25074000,26845000,23929000,59063000,49111000,36067000,51184000,62810000,30612000,43640000,59872000,48946000,53994000,53934000,35186000
"9",691,811604000,2212000,15428000,36294000,31562000,32837000,28493000,28015000,21244000,25473000,29595000,51084000,35705000,35625000,47174000,58510000,37993000,52638000,65602000,49320000,49454000,48950000,28396000
"10",689,698062000,1446000,7865000,24129000,28608000,22740000,22367000,20319000,19041000,18461000,19215000,45007000,32310000,35100000,41710000,44409000,32350000,49608000,56146000,48273000,47708000,45977000,35273000
"11",693,663856000,1828000,13147000,28126000,28318000,20579000,24747000,25320000,17386000,23746000,26925000,44470000,32177000,25844000,38564000,47806000,35810000,38553000,47528000,41741000,36649000,38668000,25924000
"12",690,131281000,572000,2316000,5034000,5991000,3961000,5243000,2620000,2277000,4137000,5196000,5876000,6717000,4971000,8246000,10071000,7104000,8189000,9456000,11881000,6884000,7511000,7028000
"13",692,54243000,248000,1927000,1592000,2004000,2437000,1234000,2392000,1968000,1329000,2396000,2264000,1652000,1970000,2056000,2222000,1799000,2150000,3966000,3539000,5433000,4754000,4911000
"14",0,NA,NA,1686000,2117000,2521000,1474000,1005000,394000,456000,845000,609000,466000,NA,NA,212000,NA,NA,NA,NA,424000,NA,NA,225000
